"Exercício";"Programa";"Objetivo";"Objetivo Específico";"Entrega";"Enunciado";"Descrição";"Órgão";"Unidade Responsável";"Projeto de Investimento";"Data de Início";"Data de Término";"Valor Total";"Execução Física Acumulada";"Meta da Execução Física";"Concluída";
2025;"5112";"1302";"0166";"1140";"Ampliação do número de unidades da Rede Federal de Educação Profissional, Científica e Tecnológica, considerando os indicadores de equidade, fortalecendo sua interiorização.";"Ampliação do número de unidades da Rede Federal de Educação Profissional, Científica e Tecnológica, considerando os indicadores de equidade, fortalecendo sua interiorização.";"26000 - Ministério da Educação";"SETEC/MEC ";"Não";;;;;;"";
2025;"5116";"1250";"0170";"0327";"Intensificação de ações responsivas de promoção da livre circulação";"Tendo em vista a extensa malha viária nacional e a capilaridade institucional, a PRF pretende implementar protocolos de resposta aos diversos tipos de interdições e bloqueios em rodovias federais visando mitigar a quantidade de ocorrência dos mesmos.";"30000 - Ministério da Justiça e Segurança Pública";"Polícia Rodoviária Federal - PRF";"Não";;;;;;"";
2025;"5113";"1329";"0354";"0795";"Oferta de vagas de residência médica disponibilizadas no Enare ? Exame Nacional de Residência";"Oferta de vagas de residência médica disponibilizadas no Enare ? Exame Nacional de Residência";"26000 - Ministério da Educação";"EBSERH";"Não";;;;;;"";
2025;"5113";"1329";"0354";"0796";"Oferta de vagas de residência multiprofissional e em área profissional da saúde disponibilizadas no Enare - Exame Nacional de Residência";"Oferta de vagas de residência multiprofissional e em área profissional da saúde disponibilizadas no Enare - Exame Nacional de Residência";"26000 - Ministério da Educação";"EBSERH";"Não";;;;;;"";
2025;"5113";"1329";"0354";"0799";"Fortalecimento da residência multiprofissional e em área profissional da saúde por meio da oferta de vagas pelo MEC, visando otimizar a taxa de ocupação, com ênfase nas regiões com maior carência de profissionais.";"Fortalecimento da residência multiprofissional e em área profissional da saúde por meio da oferta de vagas pelo MEC, visando otimizar a taxa de ocupação, com ênfase nas regiões com maior carência de profissionais.";"26000 - Ministério da Educação";"SESU/MEC";"Não";;;;;;"";
2025;"5113";"1329";"0354";"0806";"Aumento da participação de estudantes hipossuficientes, estudantes pretos, pardos ou indígenas (PPI), estudantes com deficiência (PCD) e estudantes provenientes de escolas públicas em contratos de financiamento estudantil (FIES) de cursos de medicina.";"Aumento da participação de estudantes hipossuficientes, estudantes pretos, pardos ou indígenas (PPI), estudantes com deficiência (PCD) e estudantes provenientes de escolas públicas em contratos de financiamento estudantil (FIES) de cursos de medicina.";"26000 - Ministério da Educação";"SESU";"Não";;;;;;"";
2025;"5113";"1329";"0354";"0797";"Fortalecimento da residência médica por meio do aumento da taxa de ocupação das vagas oferecidas pelo Ministério da Educação, com ênfase nas regiões com maior carência de profissionais";"Fortalecimento da residência médica por meio do aumento da taxa de ocupação das vagas oferecidas pelo Ministério da Educação, com ênfase nas regiões com maior carência de profissionais";"26000 - Ministério da Educação";"SESU/MEC";"Não";;;;;;"";
2025;"5113";"1329";"0356";"0814";"Apoio, por meio da oferta de bolsas, aos profissionais na supervisão acadêmica de médicos do Programa Mais Médicos para o Brasil.";"Ampliação do número de profissionais na supervisão acadêmica de médicos do Programa Mais Médicos para o Brasil.";"26000 - Ministério da Educação";"SESU/MEC";"Não";;;;;;"";
2025;"5113";"1329";"0356";"0815";"Renovação do parque de equipamentos médico-hospitalares de grande porte dos hospitais universitários federais";"Renovação do parque de equipamentos médico-hospitalares de grande porte dos hospitais universitários federais";"26000 - Ministério da Educação";"EBSERH";"Não";;;;;;"";
2025;"5113";"1329";"0356";"2120";"Adequação física dos ambientes de atenção à saúde, ensino, pesquisa e inovação dos hospitais universitários federais.";"Adequação física dos ambientes de atenção à saúde, ensino, pesquisa e inovação dos hospitais universitários federais.";"26000 - Ministério da Educação";"EBSERH";"Não";;;;;;"";
2025;"5113";"1329";"0356";"2886";"Apoio à melhoria e à ampliação da infraestrutura física dos ambientes de atenção à saúde, ensino, pesquisa e inovação dos Hospitais Universitários Federais geridos pela Rede EBSERH/MEC constantes no Plano de Aceleração do Crescimento (PAC III)";"Indicador se refere ao número de obras em unidades hospitalares da Rede Ebserh, presentes no Plano de Aceleração do Crescimento (PAC) III do Governo Federal, contempladas como obras de reforma e ampliação física para os ambientes de atenção à saúde, ensino, pesquisa e inovação. ? Hospital Universitário Professor Edgard Santos da Universidade Federal da Bahia ? Hospital das Clínicas da Universidade Federal de Pernambuco ? Hospital Universitário Professor Alberto Antunes (UFAL) ? Hospital Universitário de Lagarto da Universidade Federal de Sergipe ? Hospital Universitário de Santa Maria (UFSM) ? Hospital de Clínicas da UFTM ? Hospital Universitário Maria Aparecida Pedrossian (UFMS) ? Complexo Hospitalar Universitário da UFPA ? Hospital Universitário Alcides Carneiro da Universidade Federal de Campina Grande.";"26000 - Ministério da Educação";"EBSERH/MEC";"Não";;;;;;"";
2025;"5113";"1329";"0361";"0842";"Tratamento de processos regulatórios em fase de parecer final no âmbito do MEC.";"Tratamento de processos regulatórios em fase de parecer final no âmbito do MEC.";"26000 - Ministério da Educação";"SERES/MEC";"Não";;;;;;"";
2025;"5113";"1329";"0361";"0845";"Tratamento do estoque de processo de supervisão instaurados até 31/12/2022 no âmbito do MEC";"Tratamento do estoque de processo de supervisão instaurados até 31/12/2022 no âmbito do MEC";"26000 - Ministério da Educação";"SERES/MEC";"Não";;;;;;"";
2025;"5113";"1329";"0361";"0846";"Integração dos sistemas de pós-graduação para ampliação da coleta de dados acerca dos programas de pós-graduação stricto sensu";"Integração dos sistemas de pós-graduação para ampliação da coleta de dados acerca dos programas de pós-graduação stricto sensu (GOPG)";"26000 - Ministério da Educação";"CAPES";"Não";;;;;;"";
2025;"5113";"1329";"0362";"0851";"Realização de avaliações in loco da educação superior.";"Realização de avaliações in loco da educação superior.";"26000 - Ministério da Educação";"INEP";"Não";;;;;;"";
2025;"5113";"1329";"0362";"0852";"Realização de avaliações internacionais referentes à educação superior";"Realizar avaliações internacionais referentes à educação superior";"26000 - Ministério da Educação";"INEP";"Não";;;;;;"";
2025;"5113";"1329";"0362";"0857";"Produção e divulgação de informações estatísticas sobre a Educação Superior brasileira";"Produzir e divulgar informações estatísticas sobre a Educação Superior brasileira";"26000 - Ministério da Educação";"INEP";"Não";;;;;;"";
2025;"5113";"1329";"0362";"2118";"Produção e publicação de estudos e pesquisas referentes à Educação.";"Produção e publicação de estudos e pesquisas referentes à Educação.";"26000 - Ministério da Educação";"INEP/MEC";"Não";;;;;;"";
2025;"5113";"1329";"0362";"0855";"Realização de exames educacionais da Educação Superior";"Realizar exames educacionais da Educação Superior";"26000 - Ministério da Educação";"INEP";"Não";;;;;;"";
2025;"5113";"1329";"0360";"0839";"Promoção e fortalecimento da cultura do empreendedorismo e da inovação tecnológica e social nas IFES, com ênfase em empresas juniores, startups e áreas STEAM, em especial, os alinhados aos Objetivos do Desenvolvimento Sustentável (ODS) 2015-2030.";"Promoção e fortalecimento da cultura do empreendedorismo e da inovação tecnológica e social nas IFES, com ênfase em empresas juniores, startups e áreas STEAM, em especial, os alinhados aos Objetivos do Desenvolvimento Sustentável (ODS) 2015-2030.";"26000 - Ministério da Educação";"SESU/MEC";"Não";;;;;;"";
2025;"5113";"1329";"0353";"0786";"Ampliação do número de bolsas para permanência de estudantes indígenas, quilombolas e em situação de vulnerabilidade econômica";"Ampliar o número de bolsas para permanência de estudantes indígenas, quilombolas e em situação de vulnerabilidade econômica";"26000 - Ministério da Educação";"SESU/MEC";"Não";;;;;;"";
2025;"5113";"1329";"0353";"0794";"Concessão bolsas para alunos de graduação envolvidos em projetos de ensino, pesquisa e extensão.";"Conceder bolsas para alunos de graduação envolvidos em projetos de ensino, pesquisa e extensão.";"26000 - Ministério da Educação";"SESU/MEC";"Não";;;;;;"";
2025;"5113";"1329";"0351";"1304";"Apoio à expansão de campi das Universidades Federais.";"Apoio à expansão de campi das Universidades Federais.";"26000 - Ministério da Educação";"SESU/MEC";"Não";;;;;;"";
2025;"5113";"1329";"0351";"1313";"Apoio a projetos relacionados a energia de fonte renovável e sustentável";"Apoio a projetos relacionados a energia de fonte renovável e sustentável";"26000 - Ministério da Educação";"SESU/MEC";"Não";;;;;;"";
2025;"5113";"1329";"0351";"1316";"Apoio à infraestrutura dos Museus, Casas da Ciência e espaços culturais ligados às IFES.";"Apoio à infraestrutura dos Museus, Casas da Ciência e espaços culturais ligados às IFES.";"26000 - Ministério da Educação";"SESU/MEC";"Não";;;;;;"";
2025;"5113";"1329";"0351";"1296";"Apoio à consolidação, modernização e expansão da infraestrutura física das universidades federais, por meio de obras do Novo PAC.";"Apoio à consolidação, modernização e expansão da infraestrutura física das universidades federais, por meio de obras do Novo PAC.";"26000 - Ministério da Educação";"SESU/MEC";"Não";;;;;;"";
2025;"5113";"1329";"0352";"0774";"Otimização da ocupação das vagas ofertadas pelas Instituições públicas de ensino superior por meio do sistema de seleção unificada (SISU)";"Otimizar a ocupação das vagas ofertadas pelas Instituições públicas de ensino superior por meio do sistema de seleção unificada (SISU)";"26000 - Ministério da Educação";"SESU";"Não";;;;;;"";
2025;"5113";"1329";"0352";"0782";"Otimização da ocupação das bolsas ofertadas por meio do Programa Universidade para Todos (PROUNI)";"Otimizar a ocupação das bolsas ofertadas por meio do Programa Universidade para Todos (PROUNI)";"26000 - Ministério da Educação";"SESU/MEC";"Não";;;;;;"";
2025;"5113";"1329";"0352";"0777";"Aumento do número de contratos de financiamento estudantil (FIES)";"Aumento do número de contratos de financiamento estudantil (FIES)";"26000 - Ministério da Educação";"SESU";"Não";;;;;;"";
2025;"5112";"1302";"0189";"0364";"Produzir, publicar e disseminar dados, indicadores e informações estatísticas referentes à Educação Profissional e Tecnológica.";"Produzir, publicar e disseminar dados, indicadores e informações estatísticas referentes à Educação Profissional e Tecnológica.";"26000 - Ministério da Educação";"INEP/MEC";"Não";;;;;;"";
2025;"5112";"1302";"0189";"0366";"Realizar Estudos sobre avaliação da Educação Profissional e Tecnológica.";"Realizar Estudos sobre avaliação da Educação Profissional e Tecnológica.";"26000 - Ministério da Educação";"INEP/MEC";"Não";;;;;;"";
2025;"5116";"1250";"0120";"0340";"Intensificação do enfrentamento a crimes ambientais";"Intensificação de ações planejadas de fiscalização local, em ponto fixo sinalizado e por tempo pré determinado, com o propóstico específico de prevenção, policiamento e fiscalização de enfrentamento a crimes contra a fauna, a flora, o ordenamento urbano, o patrimônio cultural, a administração ambiental e crimes de poluição";"30000 - Ministério da Justiça e Segurança Pública";"Polícia Rodoviária Federal - PRF";"Não";;;;;;"";
2025;"5116";"1250";"0120";"0268";"Realização de operações policiais de prevenção e repressão ao crime contra o meio ambiente na Amazônia Legal";"Desenvolvimento de atividades tanto no eixo operacional, através de unidades operacionais (permanentes ou temporárias) posicionadas em áreas críticas de desflorestamento objeto de interesse da Policia Federal na Amazônia Legal Brasileira, bem como por meio de atuação das unidades especializadas que atuam na vertente investigativa com realizações de operações especiais de polícia judiciária em desfavor de pessoas, grupos ou organizações criminosas que patrocinam o desmatamento ilegal.";"30000 - Ministério da Justiça e Segurança Pública";"Polícia Federal - PF";"Não";;;;;;"";
2025;"5812";"1287";"0077";"3452";"Adesão de entidades públicas ou privadas às ações do Comitê de Oportunidades Econômicas para pessoas LGBTQIA+";"A adesão de entidades públicas e privadas às ações do Comitê de Oportunidades Econômicas para Pessoas LGBTQIA+ é um mecanismo para fortalecer a promoção da empregabilidade e geração de renda para pessoas LGBTQIA+, envolvendo parcerias para a execução de políticas públicas, estímulo à inclusão em empresas e reconhecimento de práticas de trabalho digno.";"81000 - Ministério dos Direitos Humanos e da Cidadania";"SECRETARIA NACIONAL DOS DIREITOS DAS PESSOAS LGBTQIA+ ";"Não";;;;;;"";
2025;"5812";"1287";"0077";"0109";"Implementação de um programa de integração profissional para pessoas LGBTQIA+ em situação de vulnerabilidade social";"Implementação de um programa de integração profissional para pessoas LGBTQIA+ em situação de vulnerabilidade social";"81000 - Ministério dos Direitos Humanos e da Cidadania";"SECRETARIA NACIONAL DOS DIREITOS DAS PESSOAS LGBTQIA+ ";"Não";;;;;;"";
2025;"5812";"1287";"0083";"0237";"Fortalecimento e/ou implementação de Centros de Cidadania LGBTQIA+, para promoção, proteção e defesa dos direitos das pessoas LGBTQIA+, com equipes volantes.";"Fortalecimento e/ou implementação de Centros de Cidadania LGBTQIA+, para promoção, proteção e defesa dos direitos das pessoas LGBTQIA+, com equipes volantes.";"81000 - Ministério dos Direitos Humanos e da Cidadania";"SECRETARIA NACIONAL DOS DIREITOS DAS PESSOAS LGBTQIA+ ";"Não";;;;;;"";
2025;"5812";"1287";"0083";"0238";"Fortalecimento e/ou implementação de Casas de Acolhimento de pessoas LGBTQIA+ expulsas do núcleo familiar com vínculos familiares rompidos";"Fortalecimento e/ou implementação de Casas de Acolhimento de pessoas LGBTQIA+ expulsas do núcleo familiar com vínculos familiares rompidos, em situação de vulnerabilidade social, risco, violência e violação de direitos.";"81000 - Ministério dos Direitos Humanos e da Cidadania";"SECRETARIA NACIONAL DOS DIREITOS DAS PESSOAS LGBTQIA+ ";"Não";;;;;;"";
2025;"5812";"1287";"0083";"2191";"Campanhas de conscientização sobre prevenção às diversas formas de violência e discursos de ódio contra pessoas LGBTQIA+.";"Realização de campanhas de conscientização sobre prevenção às diversas formas de violência e discursos de ódio contra pessoas LGBTQIA+.";"81000 - Ministério dos Direitos Humanos e da Cidadania";"SECRETARIA NACIONAL DOS DIREITOS DAS PESSOAS LGBTQIA+ ";"Não";;;;;;"";
2025;"5812";"1287";"0083";"0240";"Equipagem de Conselhos Municipais e Estaduais.";"Equipagem de Conselhos Municipais e Estaduais.";"81000 - Ministério dos Direitos Humanos e da Cidadania";"SECRETARIA NACIONAL DOS DIREITOS DAS PESSOAS LGBTQIA+ ";"Não";;;;;;"";
2025;"5812";"1287";"0083";"0246";"Adesões de entidades à Rede Nacional de Proteção, Promoção e Defesa das Pessoas LGBTQIA+";"Adesões de entidades à Rede Nacional de Proteção, Promoção e Defesa das Pessoas LGBTQIA+";"81000 - Ministério dos Direitos Humanos e da Cidadania";"SECRETARIA NACIONAL DOS DIREITOS DAS PESSOAS LGBTQIA+ ";"Não";;;;;;"";
2025;"5812";"1287";"0083";"2193";"Formação para lideranças LGBTQIA+ do campo, inclusive lideranças indígenas, para o combate à violência e aos crimes de ódio, com base na autogestão e autoproteção voltadas para as particularidades territoriais e regionais.";"Formação para lideranças LGBTQIA+ do campo, inclusive lideranças indígenas, para o combate à violência e aos crimes de ódio, com base na autogestão e autoproteção voltadas para as particularidades territoriais e regionais.";"81000 - Ministério dos Direitos Humanos e da Cidadania";"SECRETARIA NACIONAL DOS DIREITOS DAS PESSOAS LGBTQIA+ ";"Não";;;;;;"";
2025;"5812";"1287";"0083";"0247";"Equipagem de órgãos de política LGBTQIA+ nos Estados e Municípios.";"Equipagem de órgãos de política LGBTQIA+ nos Estados e Municípios.";"81000 - Ministério dos Direitos Humanos e da Cidadania";"SECRETARIA NACIONAL DOS DIREITOS DAS PESSOAS LGBTQIA+ ";"Não";;;;;;"";
2025;"5812";"1287";"0083";"0239";"Promoção de formação de pessoas LGBTQIA+ para atuação enquanto Defensores de Direitos Humanos voltados para o segmento LGBTQIA+.";"Promoção de formação de pessoas LGBTQIA+ para atuação enquanto Defensores de Direitos Humanos voltados para o segmento LGBTQIA+.";"81000 - Ministério dos Direitos Humanos e da Cidadania";"SECRETARIA NACIONAL DOS DIREITOS DAS PESSOAS LGBTQIA+ ";"Não";;;;;;"";
2025;"5811";"1315";"0199";"0448";"Conferências Estaduais e Distrital de Direitos da pessoa com Deficiência";"Conferências Pessoa com Deficiência Estaduais e Distrital realizadas com ampla participação das pessoas com deficiência.";"81000 - Ministério dos Direitos Humanos e da Cidadania";"SECRETARIA NACIONAL DOS DIREITOS DA PESSOA COM DEFICIÊNCIA";"Não";;;;;;"Sim";
2025;"5811";"1315";"0199";"0930";"Capacitação de agentes públicos(as) e conselheiros(as) de direitos na temática dos direitos das pessoas com deficiência.";"Capacitação de agentes públicos(as) e conselheiros(as) de direitos na temática dos direitos das pessoas com deficiência.";"81000 - Ministério dos Direitos Humanos e da Cidadania";"SECRETARIA NACIONAL DOS DIREITOS DA PESSOA COM DEFICIÊNCIA";"Não";;;;;;"";
2025;"5811";"1315";"0200";"0450";"Relatórios anuais sobre a vitimização de pessoas com deficiência por violência ou discriminação";"Relatórios anuais produzidos a partir de registros administrativos e com séries temporais sobre a vitimização de pessoas com deficiência por violência ou discriminação, comparando sua prevalência com a de Cobertura pessoas sem deficiência";"81000 - Ministério dos Direitos Humanos e da Cidadania";"SECRETARIA NACIONAL DOS DIREITOS DA PESSOA COM DEFICIÊNCIA";"Não";;;;;;"Não";
2025;"5811";"1315";"0200";"0451";"Campanhas de enfrentamento ao capacitismo, à violência e ao preconceito contra pessoas com deficiência, com hanseníase ou com doenças raras.";"Campanhas de enfrentamento ao capacitismo, à violência e ao preconceito contra pessoas com deficiência, com hanseníase ou com doenças raras.";"81000 - Ministério dos Direitos Humanos e da Cidadania";"SECRETARIA NACIONAL DOS DIREITOS DA PESSOA COM DEFICIÊNCIA";"Não";;;;;;"";
2025;"5811";"1315";"0202";"0847";"Ações de promoção de acessibilidade em praias nos Planos de Gestão Integrada (PGI), no âmbito do Projeto Orla.";"Inserir cláusula de obrigatoriedade de ações de promoção de acessibilidade em praias nos Termos de Adesão à Gestão de Praias (TAGP), no âmbito do Projeto Orla.";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos";"Secretaria do Patrimônio da União | SPU";"Não";;;;;;"";
2025;"5811";"1315";"0202";"0829";"Fornecimento das informações de acessibilidade dos imóveis utilizados pela Administração Pública federal para o MDHC.";"Disponibilização periódica ao MDHC dos dados de acessibilidade dos imóveis utilizados pela APF, bem como dos links de publicação de seus laudos de acessibilidade e de planos de trabalho, nos termos da Portaria Interministerial nº 323, de 10 de setembro de 2020.";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos";"Secretaria do Patrimônio da União | SPU";"Não";;;;;;"";
2025;"5811";"1315";"0202";"0838";"Ações de fiscalização para verificação das informações disponibilizadas na Plataforma informatizada.";"Ações de fiscalização nos imóveis de uso especial de propriedade da União utilizados pela APF, realizadas no âmbito Plano Nacional de Fiscalização, para verificar se as informações de acessibilidade fornecidas pelo gestor predial na plataforma SPUnet condizem com a situação fática.";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos";"Secretaria do Patrimônio da União | SPU";"Não";;;;;;"";
2025;"5811";"1315";"0202";"0935";"Acessibilidade em prédios da Administração Pública Federal";"Promover a acessibilidade em prédios da Administração Pública Federal";"81000 - Ministério dos Direitos Humanos e da Cidadania";"SECRETARIA NACIONAL DOS DIREITOS DA PESSOA COM DEFICIÊNCIA";"Não";;;;;;"";
2025;"5811";"1315";"0202";"0946";"Ações de capacitação para produtores culturais sobre Acessibilidade Cultural";"Ações de capacitação para produtores culturais sobre Acessibilidade Cultural";"81000 - Ministério dos Direitos Humanos e da Cidadania";"SECRETARIA NACIONAL DOS DIREITOS DA PESSOA COM DEFICIÊNCIA";"Não";;;;;;"";
2025;"5133";"1332";"0368";"1938";"Cooperação para elaboração e implementação de guias alimentares e estratégias de prevenção das múltiplas formas de má nutrição";"Refere-se à identificação do número de países com os quais o Brasil firmou parcerias de cooperação para apoiar a construção de guias alimentares e estratégias de prevenção das múltiplas formas de má-nutrição. O Brasil é reconhecido internacionalmente por seus bons resultados no combate à fome e à?desnutrição?e na promoção da Segurança Alimentar e Nutricional (SAN), por meio da adoção de políticas de proteção social, de fortalecimento da agricultura familiar e ampliação do acesso à serviços de saúde, entre outras.";"36000 - Ministério da Saúde";"Secretaria de Atenção Primária à Saúde";"Não";;;;;;"Não";
2025;"5133";"1332";"0368";"2249";"Aumento dos acordos assinados (bilaterais ou regionais), apresentação ou co-patrocínio de planos de ação, resoluções, declarações, projetos de decisão e outros instrumentos em foros multilaterais relativos aos temas da soberania e segurança alimentar e nutricional e do Direito Humano à Alimentação Adequada - DHAA";"Aumento dos acordos assinados (bilaterais ou regionais), apresentação ou co-patrocínio de planos de ação, resoluções, declarações, projetos de decisão e outros instrumentos em foros multilaterais relativos aos temas da soberania e segurança alimentar e nutricional e do Direito Humano à Alimentação Adequada - DHAA";"35000 - Ministério das Relações Exteriores";"CGSAN";"Não";;;;;;"";
2025;"5837";"1325";"0468";"1584";"Realização de missões e inspeções em unidades do sistema prisional";"Realização de missões e inspeções em unidades do sistema prisional";"81000 - Ministério dos Direitos Humanos e da Cidadania";"Ministério dos Direitos Humanos e da Cidadania e Ministério da Justiça e Segurança Pública";"Não";;;;;;"";
2025;"5837";"1325";"0468";"1582";"Implementação do Plano Nacional para o Enfrentamento do Estado de Coisas Inconstitucional nas Prisões Brasileiras (Pena Justa)";"Implementação do Plano Nacional para o Enfrentamento do Estado de Coisas Inconstitucional nas Prisões Brasileiras (Pena Justa)";"81000 - Ministério dos Direitos Humanos e da Cidadania";"Ministério dos Direitos Humanos e da Cidadania e Ministério da Justiça e Segurança Pública";"Não";;;;;;"";
2025;"5116";"1250";"0165";"0305";"Potencialização de ações educativas com foco na redução de mortes em rodovias federais";"Realização de ações de educação para o trânsito e campanhas educativas em todo o território nacional.";"30000 - Ministério da Justiça e Segurança Pública";"Polícia Rodoviária Federal - PRF";"Não";;;;;;"";
2025;"5116";"1250";"0165";"0315";"Aprimoramento do atendimento de sinistros de trânsito";"Tendo em vista a 'hora de ouro' para atendimento de vítimas de acidentes e extensa malha viária nacional, a PRF pretende gerar maior agilidade nos serviços de atendimento a acidentes de trânsito que ocorrem nas rodovias federais através de capacitações, criação e execução de protocolos de atendimento a acidentes, melhorias na disponibilidade de comunicação crítica entre seus policiais, entre outras ações que visam mitigar a ocorrência de fatalidades no caso de acidentes de trânsitos.";"30000 - Ministério da Justiça e Segurança Pública";"Polícia Rodoviária Federal - PRF";"Não";;;;;;"";
2025;"5116";"1250";"0165";"0309";"Intensificação de rondas ostensivas em rodovias federais";"Realização do patrulhamento ostensivo de extensões fracionadas da malha viária identificadas no rol de quilômetros com alto índice de acidentes de trânsito.";"30000 - Ministério da Justiça e Segurança Pública";"Polícia Rodoviária Federal - PRF";"Não";;;;;;"";
2025;"5116";"1250";"0165";"0313";"Intensificação de comandos preventivos de segurança viária";"Realização de ações planejadas de fiscalização local, em ponto fixo sinalizado e por tempo pré determinado, com o propóstico específico de prevenção de acidentes, policiamento e fiscalização de enfrentamento a crimes de trânsito e transportes.";"30000 - Ministério da Justiça e Segurança Pública";"Polícia Rodoviária Federal - PRF";"Não";;;;;;"";
2025;"5116";"1250";"0173";"0337";"Intensificação de ações educativas e intervenções voltadas ao enfrentamento a crimes contra os Direitos Humanos nas rodovias federais";"Intensificação de ações de garantia e promoção dos Direitos Humanos, como campanhas educativas, operações e intervenções de enfrentamento a crimes contra os Direitos Humanos.";"30000 - Ministério da Justiça e Segurança Pública";"Polícia Rodoviária Federal - PRF";"Não";;;;;;"";
2025;"5116";"1250";"0173";"0339";"Aprimoramento do policiamento orientado por inteligência";"Aperfeiçoamento do grau de exatidão do policiamento orientado por inteligência";"30000 - Ministério da Justiça e Segurança Pública";"Polícia Rodoviária Federal - PRF";"Não";;;;;;"";
2025;"5116";"1250";"0173";"0334";"Potencialização de ações de enfrentamento à criminalidade";"Intensificação de ações planejadas de fiscalização local, em ponto fixo sinalizado e por tempo pré determinado, com o propóstico específico de prevenção, policiamento e fiscalização de enfrentamento a crimes ambientais.";"30000 - Ministério da Justiça e Segurança Pública";"Polícia Rodoviária Federal - PRF";"Não";;;;;;"";
2025;"1191";"1328";"0331";"0909";"Unidades Familiares de Produção Agrária com inscrição ativa no CAF";"O Cadastro Nacional da Agricultura Familiar (CAF) é o instrumento para identificar e qualificar o público beneficiário previsto na Lei nº 11.326/2006, bem como, a Unidade Familiar de Produção Agrária (UFPA), os Empreendimentos Familiares Rurais e as formas associativas da agricultura familiar.";"49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar";"Secretaria de Agricultura Familiar e Agroecologia - SAF/MDA";"Não";;;;;;"";
2025;"1191";"1328";"0325";"0720";"Agricultores e agricultoras familiares atendidos por assistência técnica e extensão rural";"Viabilizar a oferta de ATER para agricultores familiares em consonância com os princípios da PNATER e em conformidade com as demandas prioritárias e as políticas estratégicas da Agricultura Familiar.";"49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar";"Secretaria de Agricultura Familiar e Agroecologia - SAF/MDA";"Não";;;;;;"";
2025;"1191";"1328";"0325";"0726";"Agricultores do Programa Nacional de Reforma Agrária - PNRA atendidos por assistência técnica e extensão rural específica";"Viabilização, ampliação e qualificação dos serviços de assistência técnica e extensão rural presencial e remota";"49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar";"Secretaria de Agricultura Familiar e Agroecologia - SAF/MDA";"Não";;;;;;"";
2025;"1191";"1328";"0327";"0733";"Projetos de ensino, pesquisa, extensão, ciência e inovação para a agroecologia beneficiados";"Execução dos projetos selecionados por meio de chamadas específicas para Agroecologia, destinados ao desenvolvimento de ações de pesquisa, ensino, extensão, ciência e inovação junto a famílias agricultoras";"49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar";"Secretaria de Agricultura Familiar e Agroecologia - SAF/MDA";"Não";;;;;;"";
2025;"1191";"1328";"0327";"0735";"Famílias apoiadas em projetos e ações na área de agroecologia e transição agroecológica";"Apoio ao desenvolvimento de ações de inovação, capacitação e formação de agricultores familiares baseadas em processos coletivos e participativos com potencial para ser replicada em outros contextos semelhantes objetivando promover práticas agroecológicas e processos de transição agroecológica junto a famílias, grupos e organizações da agricultura familiar.";"49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar";"Secretaria de Agricultura Familiar e Agroecologia - SAF/MDA";"Não";;;;;;"";
2025;"1191";"1328";"0321";"2262";"Contratos de crédito no âmbito do Pronaf Bioeconomia, que fomentam o desenvolvimento sustentável";"Número de contratos de crédito no âmbito do Pronaf Bioeconomia, que fomentam o desenvolvimento sustentável";"49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar";"Secretaria de Agricultura Familiar e Agroecologia - SAF/MDA";"Não";;;;;;"";
2025;"1191";"1328";"0321";"2260";"Contratos de crédito no âmbito do Pronaf Semiárido, que fomentam o desenvolvimento sustentável";"Número de contratos de crédito no âmbito do Pronaf Semiárido, que fomentam o desenvolvimento sustentável";"49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar";"Secretaria de Agricultura Familiar e Agroecologia - SAF/MDA";"Não";;;;;;"";
2025;"1191";"1328";"0321";"2261";"Contratos de crédito no âmbito do Pronaf Agroecologia, que fomentam o desenvolvimento sustentável";"Número de contratos de crédito no âmbito do Pronaf Agroecologia, que fomentam o desenvolvimento sustentável";"49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar";"Secretaria de Agricultura Familiar e Agroecologia - SAF/MDA";"Não";;;;;;"";
2025;"1191";"1328";"0321";"3371";"Contratos de crédito no âmbito do Pronaf V";"Número de contratos de crédito no âmbito do Pronaf V, que fomentam o desenvolvimento sustentável de agricultores familiares com renda bruta familiar variável, oriunda de diversas atividades, incluindo pesca artesanal, apicultura, artesanato, criação de animais e demais atividades agropecuárias, os quais não se enquadram nos grupos A, A/C ou B";"49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar";"Secretaria da Agricultura Familiar";"Não";;;;;;"Não";
2025;"1191";"1328";"0321";"3368";"Contratos de crédito no âmbito do Pronaf A/C, que fomentam o desenvolvimento sustentável de assentados da reforma agrária e beneficiários do crédito fundiário";"Número de contratos de crédito no âmbito do Pronaf A/C, que fomentam o desenvolvimento sustentável de assentados da reforma agrária e beneficiários do crédito fundiário";"49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar";"Secretaria da Agricultura Familiar";"Não";;;;;;"Não";
