"Exercício";"Programa";"Objetivo";"Objetivo Específico";"Indicador";"Denominação";"Sigla";"Índice de Referência";"Em Apuração";"Data de Apuração";"Unidade de Medida";"Descrição ";"Período ou Data a que se Refere";"Data de Divulgação/Disponibilização";"Periodicidade";"Polaridade";"Fórmula de Cálculo";"Variáveis de Cálculo";"Fonte de Dados das Variáveis de Cálculo";"Forma de Disponibilização";"Procedimento de Cálculo";"Limitações";"Notas Explicativas";
2025;"5811";"1315";"0199";9906;"Número de concluintes de cursos na temática dos direitos das pessoas com deficiência disponibilizados pelo MDHC";"Capacitados-PD";;Sim;;"Número de concluintes de cursos na temática dos direitos das pessoas com deficiência disponibilizados pelo MDHC";"O indicador 'Número de concluintes de cursos na temática dos direitos das pessoas com deficiência disponibilizados pelo MDHC' é uma medida importante para avaliar a capacitação de agentes públicos(as) e conselheiros(as) de direitos na temática dos direitos das pessoas com deficiência. O indicador se concentra na capacitação de agentes públicos(as) e conselheiros(as) de direitos na temática dos direitos das pessoas com deficiência, que é uma ação fundamental para a promoção da inclusão e da acessibilidade. O indicador permite a mensuração quantitativa da capacitação de agentes públicos(as) e conselheiros(as) de direitos na temática dos direitos das pessoas com deficiência, o que facilita a análise e o monitoramento do progresso ao longo do tempo. A fonte de dados do indicador são os registros administrativos da Escola Virtual de Governo, o que garante a confiabilidade dos dados. ";"O indicador se refere ao período anual, com data inicial em 1º de janeiro e data final em 31 de dezembro de cada ano.";"Última semana de março do ano seguinte ao período de referência";"Número de concluintes de cursos na temática dos direitos das pessoas com deficiência disponibilizados pelo MDHC";"Quanto maior melhor";;"Número de pessoas capacitadas nos cursos relativos aos direitos das pessoas com deficiência ofertados pela EVG ";"Os dados serão obtidos por meio dos relatórios da EVG / Escola Nacional de Administração Pública, sistematizados pela Secretaria Nacional dos Direitos da Pessoa com Deficiência (SNDPD)";"O indicador será disponibilizado em relatório anual publicado no site oficial do Ministério de Direitos Humanos e Cidadania. ";"Para calcular o indicador, é necessário somar o número de pessoas capacitadas anualmente em cada um dos cursos da EVG que aborde a temática dos direitos da pessoa com deficiência. ";"Limitações: Falta de padronização: As definições e critérios para contabilizar as variáveis de cálculo podem variar entre diferentes contextos e instituições. É necessário garantir que haja uma definição clara e padronizada para cada variável, a fim de evitar inconsistências na interpretação e comparação dos resultados. Ausência de dados completos: Em algumas situações, pode haver falta de dados completos para todas as variáveis de cálculo. Isso pode ocorrer devido a atrasos na coleta de informações, falta de registros adequados ou indisponibilidade dos dados necessários. Nesses casos, é importante avaliar o impacto dessa ausência de dados na precisão e representatividade do indicador. ";"Compatibilidade com outros indicadores: O indicador pode ser utilizado em conjunto com outros indicadores relacionados aos direitos humanos e cidadania de pessoas com deficiência para fornecer uma visão mais abrangente do progresso alcançado. Essa combinação de indicadores permite uma análise mais completa e embasada das políticas e ações para o aprimoramento da gestão pública na garantia da plena participação social e do exercício da cidadania das pessoas com deficiência em suas particularidades e diversidade. Continuidade de apuração: Para acompanhar o progresso ao longo do tempo, é recomendável manter a apuração e registro das variáveis de cálculo de forma contínua. Dessa forma, será possível avaliar as tendências, identificar áreas de melhoria e tomar medidas corretivas, se necessário. Contextualização e análise qualitativa: O indicador fornece um valor numérico que representa o percentual de execução, mas é importante complementar essa análise com uma avaliação qualitativa do contexto e dos resultados alcançados. É necessário considerar os aspectos qualitativos e subjetivos das ações integradas e seus impactos reais na promoção, proteção e defesa dos direitos das pessoas com deficiência. ";
2025;"5811";"1315";"0200";9912;"Número de pessoas alcançadas pelas ações de enfrentamento à violência e à discriminação contra pessoas com deficiência";"AACVDPD";;Sim;;"Número de pessoas alcançadas pelas ações de enfrentamento à violência e à discriminação contra pessoas com deficiência";"Este indicador mede o número de pessoas alcançadas pelas ações de enfrentamento à violência contra pessoas com deficiência. Ele é uma medida direta do impacto das ações integradas, pois quanto maior o número de pessoas alcançadas, maior probabilidade de combater e prevenir a violência contra essa população. É um indicador importante para avaliar a eficácia e o alcance das políticas e programas direcionados à proteção dos direitos das pessoas com deficiência. ";"O indicador se refere ao período anual, com data inicial em 1º de janeiro e data final em 31 de dezembro de cada ano.";"Última semana de março do ano seguinte ao período de referência";"Número de pessoas alcançadas pelas ações de enfrentamento à violência e à discriminação contra pessoas com deficiência";"Quanto maior melhor";;"1) Relatórios anuais produzidos a partir de registros administrativos e com séries temporais sobre a vitimização de pessoas com deficiência por violência ou discriminação, comparando sua prevalência com a de Cobertura de pessoas sem deficiência  2) Alcance e engajamento das campanhas de enfrentamento ao capacitismo, à violência e ao preconceito contra pessoas com deficiência, com hanseníase ou com doenças raras realizadas (Indicador da Entrega 0451) ";"A fonte de dados para o cálculo do indicador de acesso aos relatórios anuais serão os registros de acesso à página de disponibilização dos relatórios no site do MDHC. A fonte de dados para o cálculo do indicador de alcance das campanhas serão os registros da própria campanha, como registros de participantes em eventos, registros de visualizações em plataformas digitais, registros de audiência, registros de distribuição de materiais informativos, entre outros (a depender da abrangência e dos canais de comunicação utilizados).";"O indicador será disponibilizado em relatório ou painel de monitoramento, tanto internamente para órgãos governamentais, quanto publicamente, para fins de transparência e acompanhamento pela sociedade. ";"Soma dos quantitativos de pessoas alcançadas pela entrega 0451 (Número de pessoas alcançadas por campanhas de enfrentamento ao capacitismo, à violência e ao preconceito contra pessoas com deficiência, com hanseníase ou com doenças raras) e pelos acessos aos relatórios produzidos no âmbito da entrega 0450. ";"Limitações: ? O indicador 'Número de pessoas alcançadas pela campanha' não é capaz de mensurar diretamente o impacto ou passar pelas ações de conscientização. Ele fornece apenas uma medida quantitativa do alcance da campanha, mas não indica o nível de compreensão, assimilação ou mudança de comportamento das pessoas alcançadas. ? O indicador pode não capturar todas as pessoas efetivamente alcançadas pela campanha, uma vez que existem restrições na coleta de dados e no registro preciso do número de pessoas expostas às ações de conscientização. Além disso, é possível que algumas pessoas sejam contadas mais de uma vez, especialmente se participarem de várias atividades da campanha. ? O indicador não indica necessariamente o impacto direto na redução da violência e da discriminação contra pessoas com deficiência. É fundamental analisar a psicologia entre o alcance da campanha e os resultados reais na prevenção e no combate à violência e à discriminação. ? É importante considerar que campanhas são apenas uma parte do processo de melhorar a prevenção, atendimento e acolhimento de pessoas com deficiência vítimas de violência. Outras medidas, como a implementação de políticas inclusivas, a conscientização da sociedade e a promoção dos direitos humanos, também são fundamentais para garantir a transmissão dessas ações. ? O indicador pode variar de acordo com as diferentes áreas geográficas, contextos culturais e disponibilidade de recursos. Portanto, é necessário levar em consideração as particularidades locais ao interpretar e comparar os resultados. ";"O indicador 'Número de pessoas alcançadas pelas ações de enfrentamento à violência e à discriminação contra pessoas com deficiência' fornece uma medida quantitativa do alcance de ações estruturantes de enfrentamento à violência e à discriminação contra esse público. É importante correlacioná-lo com as desagregações disponíveis para entender melhor as características e padrões da violência, como tipo de agravo, tipo de violência, faixa etária, raça/cor, gênero, orientação sexual, localidade, suspeito, contexto, entre outros. Recomenda-se complementar o uso do indicador com análises qualitativas, estudos de caso e outras formas de coleta de dados para obter uma compreensão mais completa da violência e da discriminação enfrentadas pelas pessoas com deficiência e das estratégias necessárias para enfrentá-la. O indicador pode ser utilizado para monitorar o progresso nas ações de enfrentamento à violência e à discriminação contra pessoas com deficiência ao longo do tempo e identificar áreas ou grupos que demandam intervenções específicas. ";
2025;"5811";"1315";"0202";9917;"Percentual de Prédios Públicos com Diagnóstico de Acessibilidade realizado e plano de ação para correção dos problemas identificados";"PPDA";;Sim;;"Percentual de Prédios Públicos com Diagnóstico de Acessibilidade realizado e plano de ação para correção dos problemas identificados";"O indicador 'Percentual de Prédios Públicos com Diagnóstico de Acessibilidade realizado e plano de ação para correção dos problemas identificados' mede a proporção de prédios públicos que passaram por um diagnóstico de acessibilidade e possuem um plano de ação para correção dos problemas identificados, em relação ao número total de prédios públicos, vinculados à Administração Pública Federal. Esse indicador é importante para avaliar a acessibilidade dos prédios públicos e a efetividade das políticas públicas de promoção da acessibilidade.";"O indicador se refere ao período anual, com data inicial em 1º de janeiro e data final em 31 de dezembro de cada ano.";"Última semana de março do ano seguinte ao período de referência";"Percentual de Prédios Públicos com Diagnóstico de Acessibilidade realizado e plano de ação para correção dos problemas identificados";"Quanto maior melhor";;"'Número de prédios públicos com diagnóstico de acessibilidade realizado e plano de ação para correção dos problemas identificados: é o número de prédios públicos federais que passaram por um diagnóstico de acessibilidade e possuem um plano de ação para correção dos problemas identificados. Total de prédios públicos: é o número total de prédios públicos federais existentes na área de abrangência do programa.'";"A fonte de dados das variáveis de cálculo pode ser registros administrativos da Secretaria do Patrimônio da União e dos órgãos responsáveis pelos prédios públicos, como secretarias de obras, de planejamento urbano, de educação, de saúde, entre outras. É importante que os dados sejam atualizados regularmente para garantir a precisão do indicador.";"O indicador será disponibilizado em relatório ou painel de monitoramento, tanto internamente para órgãos governamentais, quanto publicamente, para fins de transparência e acompanhamento pela sociedade, no site oficial do Ministério de Direitos Humanos e Cidadania. ";"'1. É necessário obter informações sobre o número total de prédios públicos existentes na área de abrangência do programa. 2. Os prédios públicos que passaram pelo diagnóstico de acessibilidade e possuem um plano de ação são registrados e contabilizados. 3. O cálculo do indicador é feito dividindo o número de prédios públicos com diagnóstico de acessibilidade realizado e plano de ação pelo total de prédios públicos e multiplicando o resultado por 100 para obter o percentual.'";"'1. Qualidade do diagnóstico: A qualidade do diagnóstico de acessibilidade pode variar dependendo dos critérios e metodologias utilizados. É importante garantir que o diagnóstico seja abrangente, preciso e realizado por profissionais especializados em acessibilidade. É importante que haja padronização para efeitos de comparabilidade. 2. Implementação do plano de ação: O indicador não considera a efetividade da implementação do plano de ação para correção dos problemas identificados. Mesmo que um prédio tenha um plano de ação, não há garantia de que todas as correções sejam realizadas ou que sejam eficazes para melhorar a acessibilidade. 3. Abrangência dos prédios públicos: O indicador pode não abranger todos os prédios públicos existentes, especialmente aqueles que estão sob a responsabilidade de diferentes órgãos ou entes. É importante garantir que a amostra de prédios avaliados seja representativa e inclua diferentes tipos de prédios públicos. 4. Atualização dos dados: A atualização dos dados é fundamental para refletir a situação atual da acessibilidade nos prédios públicos. É necessário estabelecer um cronograma regular de avaliação e atualização dos diagnósticos e planos de ação. 5. Outros aspectos da acessibilidade: O indicador se concentra principalmente na existência de diagnósticos e planos de ação, mas não aborda outros aspectos importantes da acessibilidade, como a qualidade das adaptações realizadas, a disponibilidade de recursos financeiros para implementação das correções, a participação das pessoas com deficiência na definição das ações, entre outros. É importante considerar essas possíveis limitações ao interpretar e utilizar o indicador, buscando complementar a análise com outras fontes de informação e indicadores relacionados à acessibilidade e inclusão das pessoas com deficiência.'";"'O indicador ''Percentual de Prédios Públicos com Diagnóstico de Acessibilidade realizado e plano de ação para correção dos problemas identificados'' é uma medida importante para avaliar a acessibilidade dos prédios públicos e a efetividade das políticas públicas de promoção da acessibilidade. O indicador pode ser utilizado para: 1. Identificar os prédios públicos que precisam de intervenções para melhorar a acessibilidade e priorizar as ações de correção dos problemas identificados. 2. Avaliar a efetividade das políticas públicas de promoção da acessibilidade nos prédios públicos e planejar ações para melhorar a efetividade das políticas. 3. Identificar as regiões e os grupos populacionais que mais se beneficiam das políticas públicas de promoção da acessibilidade e planejar ações para ampliar o acesso à acessibilidade. 4. Monitorar a evolução da acessibilidade nos prédios públicos ao longo do tempo e avaliar a efetividade das ações realizadas. 5. Complementar a análise com outras fontes de informação e indicadores relacionados à acessibilidade e inclusão das pessoas com deficiência.'";
2025;"5133";"1332";"0368";11612;"Acordos assinados (bilaterais ou regionais), apresentação ou co-patrocínio de planos de ação, resoluções, declarações, projetos de decisão e outros instrumentos em foros multilaterais e projetos";;0,00;Não;01/08/2023;"Acordos assinados (bilaterais ou regionais), apresentação ou co-patrocínio de planos de ação, resoluções, declarações, projetos de decisão e outros instrumentos em foros multilaterais e projetos";"Acordos assinados (bilaterais ou regionais), apresentação ou co-patrocínio de planos de ação, resoluções, declarações, projetos de decisão e outros instrumentos em foros multilaterais e projetos de cooperação desenvolvidos ";"ano calendário (1º janeiro a 31 dezembro)";"1º trimestre do ano seguinte";"Acordos assinados (bilaterais ou regionais), apresentação ou co-patrocínio de planos de ação, resoluções, declarações, projetos de decisão e outros instrumentos em foros multilaterais e projetos";"Quanto maior melhor";;"-";"-";"-";"-";;;
2025;"5837";"1325";"0468";10826;"Número de estados mobilizados conforme Plano Nacional para o Enfrentamento do Estado de Coisas Inconstitucional nas Prisões Brasileiras (Pena Justa)";"SEPDP";;Sim;;"Número de estados mobilizados conforme Plano Nacional para o Enfrentamento do Estado de Coisas Inconstitucional nas Prisões Brasileiras (Pena Justa)";"Aferir o número de estados mobilizados conforme Plano Nacional para o Enfrentamento do Estado de Coisas Inconstitucional nas Prisões Brasileiras (Pena Justa) ";"O indicador se refere ao período anual, com data inicial em 1º de janeiro e data final em 31 de dezembro de cada ano.";"Última semana de março do ano seguinte ao período de referência";"Número de estados mobilizados conforme Plano Nacional para o Enfrentamento do Estado de Coisas Inconstitucional nas Prisões Brasileiras (Pena Justa)";"Quanto maior melhor";;"Número de estados mobilizados conforme Plano Nacional para o Enfrentamento do Estado de Coisas Inconstitucional nas Prisões Brasileiras (Pena Justa)";"SISDEPEN, Infopen";"O indicador será disponibilizado em relatório anual publicado no site oficial do Ministério de Direitos Humanos e Cidadania, permitindo o acesso do público às informações do indicador. ";"Somar o número de estados mobilizados conforme Plano Nacional para o Enfrentamento do Estado de Coisas Inconstitucional nas Prisões Brasileiras (Pena Justa). ";;"A formalização do Plano Nacional para o Enfrentamento do Estado de Coisas Inconstitucional nas Prisões Brasileiras ? Pena Justa (Homologado em Dezembro de 2024, pelo STF) que apresenta eixos de atução interministerial e interfederativa com ações de competência deste MDHC, especialmente o monitoramento da execução do plano, a serem cumpridas em 2025 a 2027, para fazer cumprir a Constituição Federal, a Lei de Execução Penal e demais previsões legais, com potencial para reduzir a superlotação, fortalecer a segurança pública e impactar positivamente a vida em sociedade ";
2025;"5116";"1250";"0165";9140;"Taxa de Mortalidade em sinistros de trânsito nas Rodovias Federais";;0,52;Não;31/12/2018;"Taxa de Mortalidade em sinistros de trânsito nas Rodovias Federais";"O Plano Nacional de Redução de Mortes e Lesões no Trânsito (PNATRANS), criado pela Lei nº 13.614, de 11 de janeiro de 2018, estabelece a meta de reduzir no mínimo à metade o índice nacional de mortos no trânsito por grupo de veículos, no período de dez anos a partir do seu ano de vigência.";"31/12";"10 dias úteis após o fechamento do mês (entre os dias 10 e 15 do mês subsequente)";"Taxa de Mortalidade em sinistros de trânsito nas Rodovias Federais";"Quanto menor melhor";;"FROTA: A frota nacional de veículos automotores foi aferida com base nas divulgações da SENATRAN.  Sinistro de trânsito: todo evento que resulte em dano ao veículo ou à sua carga, e/ou em lesões a pessoas e/ou animais, e que possa trazer dano material ou prejuízos ao trânsito, à via ou ao meio ambiente, em que pelo menos uma das partes está em movimento nas vias terrestres ou em áreas abertas ao público.";"SISTEMA ANALYTICS";"Inserção de dados no Painel Estratégico do Ministério e disponibilização via documento SEI";"Extração do quantitativo de vítimas fatais no Sistema Analytics, extração da quantidade de veículos registrados na frota nacional do SENATRAN pelo sistema do DENATRAN, cálculo por meio da fórmula do indicador.";;"Sinistro de trânsito: todo evento que resulte em dano ao veículo ou à sua carga, e/ou em lesões a pessoas e/ou animais, e que possa trazer dano material ou prejuízos ao trânsito, à via ou ao meio ambiente, em que pelo menos uma das partes está em movimento nas vias terrestres ou em áreas abertas ao público.";
2025;"5116";"1250";"0173";9179;"Flagrantes interceptados pela PRF";;60.595,00;Não;31/12/2022;"Flagrantes interceptados pela PRF";"Diuturnamente as equipes da PRF interceptam ações criminosas que ocorrem nas rodovias federais e áreas de interesse da União. O procedimento interno dita o registro dessas ocorrências criminais por meio de sistemas de informações e posterior adoção dos encaminhamentos legais necessários. ";"Último dia do mês";"10 dias úteis após o fechamento do mês (entre os dias 10 e 15 do mês subsequente)";"Flagrantes interceptados pela PRF";"Quanto maior melhor";;"Flagrante interceptado: resultado de ações repressivas de enfrentamento à criminalidade que culminaram na lavratura de Registros de Ocorrências Criminais. ";"SISTEMA ANALYTICS";"Inserção de dados no Painel Estratégico do Ministério e disponibilização via documento SEI";"Extração do quantitativo de flagrantes que culminaram em registro de ocorrências criminais por meio dos sistemas Analytics, ";;;
2025;"1191";"1328";"0331";10050;"% de CAF no total de estabelecimentos rurais";"ICcaf";0,72;Não;30/06/2023;"% de CAF no total de estabelecimentos rurais";"Proporção de estabelecimentos agropecuários da agricultura familiar identificados pelo censo agropecuário 2017 e do número de Unidades familiares de produção agrária com registro ativo no CAF.";"junho de 2023";"1º dia do mês subsequente";"% de CAF no total de estabelecimentos rurais";"Quanto maior melhor";;"'ICCaf = índice de cobertura do CAF NCaf = Nº de Unidades Familiares de Produção Agrária (UFPAs) com CAF Ativos  Naf = Nº de estabelecimentos da agricultura familiar conforme o Censo Agropecuário 2017'";"'NCaf - MDA/SAF, Base de dados do CAF NAf - IBGE, Censo Agropecuário 2017'";"XLS/CSV";"Indicador obtido através da divisão do número de unidades familiares de produção agrária com CAF ativo e o número de estabelecimentos agropecuários da agricultura familiar, conforme o Censo Agropecuário 2017.";"Fonte de dados do denominador é externa ao MDA. Novo censo pode alterar as Metas para os próximos anos.";;
2025;"1191";"1328";"0325";10182;"Proporção de agricultores familiares atendidos por assistência técnica e extensão rural em comparação com atendimentos realizados em 2024";"ATER";;Sim;31/12/2022;"Proporção de agricultores familiares atendidos por assistência técnica e extensão rural em comparação com atendimentos realizados em 2024";"Refere-se a comparação do número de famílias que receberam Assistência Técnica e Extensão Rural (ATER) no ano sob análise, em comparação com o número de famílias atendidas por ATER em 2024";"ano anterior ou corrente";"janeiro e julho";"Proporção de agricultores familiares atendidos por assistência técnica e extensão rural em comparação com atendimentos realizados em 2024";"Quanto maior melhor";;"PropAter = ? AterAtual / ? Ater 2024 AterAtual = somatório do número de agricultores/as familiares atendidos por serviços de ATER (Anater + PronafA/C+ SBS + SIATER + Crédito fundiário + ProforExt) no ano sob análise Ater2024= somatório do número de agricultores/as familiares atendidos por serviços de ATER em 2024 ";"Sistema de Gestão de ATER da ANATER (SGA). SIATER. SICOR";"Relatório Semestral e Anual.";"Soma dos beneficiários que recebram ATER: Anater + PronafA+ SBS+SIATER+Crédito fundiário+ProforExt ";"Falta de painel de monitoramento das ações com informações prontamente disponíveis para consulta imediata e acesso limitado às informações contidas no sistema SGA por parte do MDA.";"Conforme estabelecido no Contrato de Gestão a ANATER deve apresentar relatórios de execução semestrais e anuais.";
2025;"1191";"1328";"0327";10241;"Proporção de famílias beneficiadas em projetos e ações de inovação para a produção familiar e transição agroecológica em comparação com famílias beneficiadas em 2024";"Inova Agroecolog";0,00;Não;31/01/2023;"Proporção de famílias beneficiadas em projetos e ações de inovação para a produção familiar e transição agroecológica em comparação com famílias beneficiadas em 2024";"Refere-se ao percentual do número de famílias apoiadas em projetos e iniciativas de transição agroecológica no ano sob análise, em comparação com número de famílias apoiadas no ano de 2024. As atividades envolvem capacitação, práticas de transição agroecológica, comercialização de alimentos e produtos agroecológicos, atividades de promoção da agricultura familiar e transição agroecológica, extensão universitária, entre outras.";"Exercício anterior ";"Até 1º de março de cada ano";"Proporção de famílias beneficiadas em projetos e ações de inovação para a produção familiar e transição agroecológica em comparação com famílias beneficiadas em 2024";"Não se aplica";;"AgroecoAnoAtual= Famílias apoiadas em ações de inovação para produção familiar e transição agroecológica no ano sob análise Agroeco2024= Famílias apoiadas em ações de inovação para produção familiar e transição agroecológica em 2024";"Transferegov, Cadastros específicos.";"Painel MDA";"Levantamento de dados nas fontes correspondentes, tratamento e organização dos dados, consolidação dos resultados, aplicação da fórmula e registro dos resultados do Indicador em formulário próprio no sistema eletrônico de informações - SEI .";;;
2025;"1191";"1328";"0321";10136;"Número total de contratos celebrados no âmbito do Pronaf";"Contratos";1.570.352,00;Não;31/01/2023;"Número total de contratos celebrados no âmbito do Pronaf";"número total de contratos do PRONAF registrados pelos agentes financeiros no sistema SICOR e disponibilzado para consulta na Matriz de Dados do Crédito Rural do Banco Central do Brasil";"Ano Civil";"Primeiros 5 dias úteis do ano civil";"Número total de contratos celebrados no âmbito do Pronaf";"Quanto maior melhor";;"PRONAF total = Número absoluto de contratos do Pronaf celebrados no ano";"Matriz de Dados do Crédito Rural do Banco Central do Brasil (1° de janeiro a 31 de dezembro)";"XLS/CSV";"Extração de Dados em consulta à Matriz de Dados do Crédito Rural do Banco Central do Brasil (1° de janeiro a 31 de dezembro) na Olinda - Plataforma Ágil de Serviços de Dados ";"Não é possível extrair o número de exato de mutuários ou famílias beneficiadas, pois cada mutuário pode obter mais de um contrato por safra.";;
2025;"5111";"1281";"0433";10491;"Percentual de estudantes alfabetizados ao final do 2º Ano do ensino fundamental";;43,60;Não;31/12/2021;"Percentual de estudantes alfabetizados ao final do 2º Ano do ensino fundamental";"A pesquisa Alfabetiza Brasil desenvolvida pelo INEO em 2023 levou à definição de um padrão associado a habilidades básicas de leitura e de escrita que foram desenvolvidas por um estudante alfabetizado, próximo do que é, hoje, estabelecido pelos sistemas de avaliação de estados e municípios. O percentual de estudantes alfabetizados será identificado a partir dos resultados do Saeb a ser aplicado nacionalmente, de maneira amostra, aos alunos do 2º ano do Ensino Fundamental. ";"Dois anos anteriores à aplicação da prova do Saeb para o 2º ano do Ensino Fundamental.";"Setembro do ano subsequente à aplicação da prova do Saeb de 2º ano.";"Percentual de estudantes alfabetizados ao final do 2º Ano do ensino fundamental";"Quanto maior melhor";;"A: Número de crianças matriculados no 2º ano do EF com desempenho em LP igual ou superior a 743 pontos no SAEB B: Número de crianças matriculados no 2º ano do EF";"Fonte: Alfabetiza Brasil, Saeb/Inep";"INEP";;;;
2025;"5111";"1281";"0452";10598;"Número total de matrículas de estudantes em escolas quilombolas da educação básica";;283.020,00;Não;31/12/2022;"Número total de matrículas de estudantes em escolas quilombolas da educação básica";"Número total de matrículas de estudantes em escolas quilombolas da educação básica";"Mês de maio de cada ano civil";"Mês de março do ano seguinte ao ano de referência";"Número total de matrículas de estudantes em escolas quilombolas da educação básica";"Quanto maior melhor";;"A: Número total de matrículas de estudantes em escolas localizadas em comunidade quilombola (localização diferenciada: área onde se localiza comunidade de remanescente de quilombo) da Educação Básica";"Censo Escolar (Inep/MEC)";"https://www.gov.br/inep/pt-br/areas-de-atuacao/pesquisas-estatisticas-e-indicadores/censo-escolar/resultados ";"Soma das matrículas de estudantes em escolas quilombolas da educação básica.";;;
2025;"5111";"1281";"0441";10546;"Número de vagas ofertadas";;0,00;Não;31/12/2022;"Número de vagas ofertadas";"O indicador mensura o número de vagas ofertadas em formação continuada para professores e profissionais da educação básica em educação para as relações étnico-raciais (ERE), em educação em direitos humanos (EDH) e em educação ambiental.";"Janeiro a dezembro do ano de referência do indicador";"entre os meses de janeiro/fevereiro do ano seguinte ao ano de referência do indicador.";"Número de vagas ofertadas";"Quanto maior melhor";;"A + B + C A = Vagas ofertadas em ERE (Educação para as Relações Étnico-raciais) B = Vagas ofertadas em EDH (Educação em Direitos Humanos) C = Vagas ofertadas em Educação Ambiental";"SIMEC/SPO/TED - SECADI/MEC O indicador é extraído de informações constantes dos termos de descentralização (TED?s) com as IES, registrados no SIMEC. Permite a construção de séries históricas, está no âmbito da autonomia da gestão e tem compatibilidade entre os indicadores de formação de todas as modalidades de educação da SECADI.";"site do MEC, Relatório de Gestão";"Soma das vagas ofertadas constantes dos Termos de Descentralização realizado no ano de referência do indicador. ";;;
2025;"5111";"1281";"0457";10627;"Percentual de municípios atendidos por pelo menos quatro dos seguintes programas do FNDE: PAR, Pnate, PDDE, PNAE e PNLD";;94,02;Não;31/12/2022;"Percentual de municípios atendidos por pelo menos quatro dos seguintes programas do FNDE: PAR, Pnate, PDDE, PNAE e PNLD";"[Quantidade dos municípios atendidos por pelo menos quatro dos seguintes programas do FNDE: PAR, Pnate, PDDE, PNAE e PNLD/ 5570 (total de municípios brasileiros)]x100";"Janeiro a dezembro do ano de referência";"Fevereiro do ano subsequente ";"Percentual de municípios atendidos por pelo menos quatro dos seguintes programas do FNDE: PAR, Pnate, PDDE, PNAE e PNLD";"Quanto maior melhor";;"A: Número de municípios atendidos por pelo menos 4 dos seguintes programas: PAR, Pnate, Programa Dinheiro Direto na Escola (PDDE), PNAE e PNLD B: Total de municípios (5.570)";"SIGEF/DIFIN e CGPLI ? FNDE";"Extração de Base de dados do SIGEF pela TI/CGEOF-FNDE (PAR, Pnate, PDDE, PNAE), mais os municípios atendidos pelo PNLD (CGPLI/FNDE) e tratamento por planilha CGPLO/CGEDI-FNDE, entre janeiro e fevereiro do ano subsequente.";"Contagem dos municípios atendidos pelos programas PAR, Pnate, PDDE, PNAE e PNLD, sendo que a extração da base do SIGEF apresentará dados dos programas PAR, Pnate, PDDE e PNAE, e a CGPLI/FNDE apresentará os dados para o PNLD. ";;;
2025;"5111";"1281";"0458";10641;"Percentual de entes apoiados no PAR para infraestrutura em relação ao total de entes federados";;28,86;Não;31/12/2022;"Percentual de entes apoiados no PAR para infraestrutura em relação ao total de entes federados";"O indicador considera a proporção de entes beneficiados com o recurso orçamentário (empenho) para infraestrutura escolar (dimensão 4 do PAR), em relação aos que solicitaram o apoio, para o ano. ";"Janeiro a dezembro do ano de referência";"Última semana de janeiro do ano posterior ao empenho dos recursos.";"Percentual de entes apoiados no PAR para infraestrutura em relação ao total de entes federados";"Quanto maior melhor";;"A: Número entes apoiados com recurso orçamentário (empenho) para infraestrutura escolar B: Quantidade de entes que solicitaram apoio para ações de infraestrutura escolar ";"SIMEC";"Extração de relatórios de Planejamentos do PAR e de Obras do SIMEC. Site do FNDE: https://www.gov.br/fnde/pt-br/acesso-a-informacao/acoes-e-programas/programas/par";"Contagem de entes que receberam empenho no exercício para ações de infraestrutura escolar no âmbito do PAR, Contagem de entes que cadastraram planejamentos na dimensão de infraestrutura escolar do PAR para o ano. Realização da comparação entre os dois resultados. Necessário remover CNPJ duplicado antes da comparação, para não haver contabilização do ente mais de uma vez.";;"O apoio técnico e financeiro do FNDE prestado no âmbito do Plano de Ações Articuladas - PAR, tem caráter suplementar e voluntário pela União às redes públicas de educação básica dos Estados, do Distrito Federal e dos Municípios para destinação às unidades escolares, por isso sugerimos a contabilização dos entes federados. A indicação das necessidades a serem atendidas no âmbito do PAR depende das demandas apresentadas pelos entes federados na etapa de planejamento de cada ciclo, bem como da disponibilidade de recursos orçamentários, conforme disposto na Lei 12.695/2012 e Resoluções do Conselho Deliberativo do FNDE";
2025;"2310";"1253";"0137";9940;"Percentual de cumprimento de cotas de PCD ou reabilitadas no mercado de trabalho formal";"POPCD";53,45;Não;31/12/2022;"Percentual de cumprimento de cotas de PCD ou reabilitadas no mercado de trabalho formal";"O indicador demonstra o percentual de preenchimento da cota legal, o que representa a realidade das cotas preenchidas, sendo, assim, o melhor indicador para o acompanhamento da efetividade da política pública";"janeiro a dezembro";"última semana de janeiro";"Percentual de cumprimento de cotas de PCD ou reabilitadas no mercado de trabalho formal";"Quanto maior melhor";;"A = Total de vagas de cumprimento de cotas de PCD ou reabilitadas ocupadas B = Total de vagas de cumprimento de cotas de PCD ou reabilitadas reservadas";"eSocial";"Fornecimento das informações pela Secretaria de Inspeção do Trabalho";"1. Extrair, a partir de dados do eSocial, todas as vagas ocupadas por pessoas com deficiência e reabilitadas 2. Extrair, a partir de dados do eSocial, todas as vagas reservadas para pessoas com deficiência e reabilitadas 3. Dividir o número 1 pelo número 2 e multiplicar por 100 ";;"OBS. as vagas reservadas referem-se àquelas previstas no art. 93 da Lei nº 8.213/1991.";
