"Exercício";"Programa";"Objetivo";"Objetivo Específico";"Enunciado";"Descrição";"Órgão";
2024;"4101";"1265";"0451";"Qualificar o ambiente informacional, a partir da promoção da educação midiática.";"Apesar de o ambiente digital ter possibilitado novos espaços de participação e oportunidades, a disseminação das plataformas de redes sociais trouxe mudanças estruturais no meio comunicacional, que passou, nos últimos anos, a ser inundado por conteúdos desinformativos. Dados o volume e a velocidade de postagens nocivas - muitas vezes orquestrada, financiada por grupos coordenados com objetivos políticos e/ou econômicos específicos - a desinformação desorganiza a capacidade da sociedade de interpretar a realidade, fragmenta as audiências e o debate público e ameaça o consenso sobre fatos, sobre a ciência e sobre o próprio conhecimento. Os desafios mencionados quanto ao ambiente digital apontam para a urgência de se formular e implementar políticas públicas específicas, com foco no desenvolvimento de competências para que todas as pessoas possam interagir e produzir conteúdos digitais de forma consciente, responsável e cidadã. A educação midiática, ainda que não seja capaz de curar todos os males das relações humanas mediadas pela Internet, pode desempenhar um papel crucial nesse contexto. Se as novas tecnologias de comunicação digital têm permitido encontrar rapidamente informações sobre qualquer assunto em poucos segundos, é pacificado o entendimento da necessidade de aprender a lidar com esse volume sem precedentes de informações. A Organização das Nações Unidas, por exemplo, pontua em seu recente Comentário Geral nº 25 sobre os Direitos das Crianças em relação ao ambiente digital sobre a importância do uso pleno e qualificado das tecnologias, entendendo que os conteúdos são elaborados por indivíduos com uma agenda de interesses específicos e que devem, portanto, ser recepcionados de forma crítica.";"20000 - Presidência da República";
2024;"5117";"1266";"0152";"Ampliar o acesso da população a medicamentos e insumos estratégicos do elenco do Programa Farmácia Popular do Brasil.";"O Programa Farmácia Popular do Brasil visa complementar a disponibilização de medicamentos utilizados na Atenção Primária à Saúde - APS, por meio de parceria com farmácias e drogarias da rede privada, permitindo que o cidadão obtenha medicamentos nessas farmácias credenciadas ao programa, além das Unidades Básicas de Saúde e/ou farmácias municipais. O Programa disponibiliza medicamentos gratuitos para o tratamento de asmas, diabetes e hipertenção, passando a entregar gratuitamente medicamentos para osteoporose e anticoncepcionais a partir de junho de 2023. Também fornece, de forma subsidiada (até 90% do valor de referência tabelado), medicamentos para dislipidemia, rinite, doença de Parkinson, glaucoma e fraldas geriátricas. Vários problemas impediram o avanço deste programa como: o processo de credenciamento de farmácias suspenso desde 2014, o monitoramento insatisfatório das farmácias cadastradas, a concentração da oferta do programa Farmácia Popular nos grandes centros urbanos, a desigualdade regional na distribuição de farmácias credenciadas. Assim, este objetivo estratégico pretende corrigir essas falhas e contribuir com ampliação do acesso da população a medicamentos e insumos estratégicos utilizados na APS.";"36000 - Ministério da Saúde";
2024;"5117";"1266";"0153";"Proporcionar o acesso a medicamentos e insumos estratégicos de aquisição centralizada no âmbito dos componentes Básico, Estratégico e Especializado da Assistência Farmacêutica do SUS.";"O objetivo específico pretende atender as aquisições programadas em pactuações tripartite e de acordo com as demandas de medicamentos e insumos estratégicos visando reduzir as iniquidades regionais, garantir melhores preços e práticas de mercado farmacêutico e de produtos para a saúde priorizados no âmbito do SUS.";"36000 - Ministério da Saúde";
2024;"5117";"1266";"0480";"Ampliar o acesso aos serviços de cuidado farmacêutico no âmbito do SUS.";"Os serviços de cuidado farmacêutico ?compreende um conjunto de serviços clínicos dirigidos aos usuários, que englobam ações integrais e integradas de saúde e visam a prevenção, identificação e resolução de problemas relacionados à farmacoterapia, assim como atividades técnico-pedagógicas voltadas aos usuários e profissionais de saúde, que envolvem o matriciamento acerca da farmacoterapia, ambos com vistas a melhoria da qualidade de vida das pessoas? (Conasems, 2021). Os serviços de cuidado farmacêutico transcendem o ato da dispensação de medicamentos (entrega de medicamento e orientação de uso pelo farmacêutico ao usuário) envolve inúmeras atividades como rastreamento em saúde (identificação de doença ou condição de saúde em pessoa assintomática), reconciliação medicamentosa (avaliação e orientação adequada quanto ao uso de medicamentos), revisão da farmacoterapia (avaliação detalhada dos medicamentos utilizados pelo usuário e recomendações aos prescritores), monitorização terapêutica de medicamentos (avalia e interpreta os níveis séricos de medicamentos para o alcance de concentrações plasmáticas efetivas e seguras), acompanhamento farmacoterapêutico (gerenciamento da farmacoterapia e das condições de saúde do usuário, incluindo método clínico adequado), dentre outros.";"36000 - Ministério da Saúde";
2024;"5117";"1266";"0481";"Fortalecer os serviços gerenciais e assistenciais nos estados e municípios habilitados no Programa Nacional de Qualificação da Assistência Farmacêutica como estratégia de qualificação do acesso aos medicamentos e atenção à saúde.";"Aprimorar por meio do programa Qualifar-SUS os serviços gerenciais e assistenciais da assistência farmacêutica no âmbito dos municípios, estados e Distrito Federal fortalecendo os processos de seleção, programação, aquisição, distribuição e armazenamento, visando garantir acesso da população aos medicamentos e insumos nos diferentes níveis de atenção nas unidades da federação, ampliando as condições para oferta de serviços de cuidado farmacêuticos e gestão da informação, comunicação e transparência de dados na gestão e na assistência no SUS.";"36000 - Ministério da Saúde";
2024;"5117";"1266";"0482";"Promover o acesso, a inovação e a produção de medicamentos de qualidade por meio do reconhecimento do Brasil como autoridade referência para a Organização Mundial da Saúde.";"O reconhecimento do Brasil como referência pela Organização Mundial da Saúde consiste na avaliação da atuação da autoridade sanitária com base em rigorosos requisitos que representam as melhores práticas regulatórias internacionais. Tal reconhecimento aplicado à cadeia de produção, importação e distribuição de Medicamentos e Vacinas fortalece as atividades regulatórias da Anvisa e promove ambiente favorável à ampliação da disponibilidade e acesso a produtos nacionais e importados de qualidade.";"36000 - Ministério da Saúde";
2024;"2301";"1267";"0126";"Implantar o sistema de identificação do cidadão com o estabelecimento da Carteira de Identidade Nacional.";"Implantar e consolidar a CIN como documento único e suficiente de identificação do cidadão brasileiro, reduzindo burocracias, falhas de segurança, fraudes em benefícios e fragilidades correlatas ao sistema atual, em uma solução de identificação única e digital.";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos";
2024;"2301";"1267";"0263";"Ampliar a destinação de imóveis da União para políticas públicas, com foco na habitação de interesse social";"Por meio da destinação de imóveis da União, inclusive os oriundos do INSS, pretende-se retomar a função socioambiental das áreas federais, sob gestão da SPU, mitigando desigualdades sociais, econômicas e territoriais. Pretende-se contribuir para ampliar o número de unidades habitacionais, ampliar a regularização fundiária, reduzir riscos sociais e ambientais em territórios vulneráveis, qualificar a infraestrutura urbana, fomentar políticas públicas locais, e ampliar o número de imóveis da União com destinação.";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos";
2024;"2301";"1267";"0286";"Fortalecer as capacidades estatais pelo aperfeiçoamento do sistema de carreiras e de gestão de pessoas, pela qualificação no recrutamento e desenvolvimento de competências e pela democratização das relações de trabalho na Administração Pública Federal.";"Aprimorar e divulgar as políticas de gestão de pessoas e aperfeiçoar os sistemas de carreiras da Administração Pública Federal com a participação dos servidores públicos federais nas decisões que afetam o seu trabalho, garantindo o respeito aos seus direitos e deveres. Adicionalmente, desenvolver e aperfeiçoar programas de recrutamento, formação e inovação para agentes públicos com base nas competências necessárias para a implementação de políticas públicas, incluindo as questões relacionadas à igualdade de raça, gênero, diversidade e desenvolvimento sustentável.";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos";
2024;"2301";"1267";"0298";"Impulsionar a adesão aos sistemas estruturantes de gestão para a promoção da inovação, da transformação e da ampliação da capacidade do Estado para geração de valor na prestação de serviços públicos.";"Promover a transformação e a expansão da capacidade do Estado para gerar valor na prestação de serviços públicos a partir da adoção de sistemas estruturantes de gestão, de abordagens inovadoras e colaborativas na administração pública, buscando aprimorar a eficiência, qualidade e alcance dos serviços oferecidos aos cidadãos. Assim, o Estado busca se tornar mais ágil, eficaz e adaptável às necessidades da sociedade, com foco na entrega de serviços públicos de excelência, que atendem de forma mais assertiva e abrangente às demandas da população.";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos";
2024;"2301";"1267";"0418";"Ampliar a transformação digital na União e nos demais entes federados.";"Evoluir e aprofundar a transformação digital dos serviços e meio de interação do Estado com o cidadão em nível federal e fomentar a adoção das plataformas federais ou de plataformas próprias na transformação digital de estados e municípios";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos";
2024;"2301";"1267";"0419";"Ampliar o acesso aos documentos, por meio do fortalecimento da gestão de documentos e arquivos, sob coordenação do Arquivo Nacional, assegurando o direito à informação e à memória do País.";"Ampliar o acesso de usuárias e usuários aos resultados da gestão de documentos e arquivos dos órgãos da administração pública federal, mediante a qualificação do processamento técnico, preservação, custódia, acesso e difusão dos acervos, assegurando o direito à informação e à memória do país.";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos";
2024;"2301";"1267";"0424";"Promover o alinhamento entre as empresas estatais federais e as políticas públicas.";"Dada a mudança de estrutura e diretrizes às quais a Sest se submete, sem o foco voltado à desestatização das empresas federais, faz-se necessária uma mudança institucional no sentido de aprimorar a governança dessas empresas e de fortalecer as mesmas. Nesse contexto inclui-se o aprimoramento das relações com todos os atores envolvidos com as empresas estatais, principalmente os ministérios setoriais, como forma de acompanhar o planejamento e verificar a execução das políticas públicas. Além disso, cabe à Sest apoiar as empresas na busca de uma governança calcada no desenvolvimento sustentável e inclusivo.";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos";
2024;"2301";"1267";"0534";"Induzir políticas estratégicas de compras e parcerias governamentais que impulsionem o desenvolvimento econômico e social inclusivo, solidário e sustentável.";"Promover e incentivar a implementação de políticas estratégicas de compras e parcerias governamentais que tenham como objetivo impulsionar o desenvolvimento econômico e social inclusivo, solidário e sustentável. Assim, compras e parcerias feitas pelo governo serão direcionadas para apoiar projetos e iniciativas que promovam a inclusão social, a solidariedade entre os cidadãos e a sustentabilidade ambiental e econômica, de modo a fortalecer a economia, promover a justiça social e garantir a preservação do meio ambiente, criando uma sociedade mais equitativa e próspera para todos.";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos";
2024;"5662";"1268";"0026";"Promover ações de prevenção primária, secundária e terciária para proteger as mulheres, em sua diversidade e pluralidade, contra todas as formas de violência.";"Entende-se por prevenção primária ações que para evitar a ocorrência de violências, como também a mudança de atitudes, crenças e comportamentos para eliminar os estereótipos de gênero, promover uma cultura de respeito e não tolerância às discriminações, misoginia e violência com base no gênero, prevenção secundária a intervenção precoce qualificada para evitar que as violências se repitam e seus efeitos se agravem, e a terciária para mitigar os efeitos das violências, promover a garantia de direitos.";"65000 - Ministério das Mulheres";
2024;"5662";"1268";"0027";"Ampliar a rede de atendimento destinado às mulheres em situação de violência, promovendo o atendimento humanizado e o acesso aos serviços especializados no âmbito da saúde, da segurança pública, da justiça e da rede socioassistencial.";"Rede de atendimento às mulheres em situação de violência com serviços especializados implementados em todo o território nacional.";"65000 - Ministério das Mulheres";
2024;"2302";"1269";"0084";"Fortalecer os mecanismos de saúde animal e de conformidade de insumos pecuários e produtos de origem animal, de modo articulado entre os entes do SUASA, assegurando a competitividade nacional e internacional.";"Espera-se que, com a atuação do SUASA, tanto na área de saúde animal quanto de inspeção de seus produtos, o consumidor final tenha acesso a produtos de qualidade. A atuação na área de saúde animal na prevenção, vigilância e controle de enfermidades animais, além de levar ao aumento da produtividade, contribui para a alta qualidade sanitária dos produtos de origem animal e derivados.. Adicionalmente, a certificação da qualidade dos produtos de origem animal é um atributo para abertura de mercados internos e externos, além de contribuir para o comércio justo, eliminando do mercado produtos sem a qualidade adequada para consumo, gerando emprego e renda.";"22000 - Ministério da Agricultura e Pecuária";
2024;"2302";"1269";"0085";"Fortalecer os mecanismos de sanidade vegetal e de conformidade de insumos e produtos de origem vegetal assegurando a competitividade nacional e internacional";"Espera-se que, com a atuação do SUASA, tanto na área de sanidade vegetal quanto de inspeção de seus produtos e insumos da cadeia produtiva, o consumidor final tenha acesso a produtos de qualidade. A atuação na área de sanidade vegetal atua na prevenção ou controle de pragas, tanto exóticas quanto endêmicas, que levam à redução de produtividade e, em certos casos, contribui para a baixa qualidade sanitária dos produtos de origem vegetal derivados de lavouras que não estejam saudáveis. A atuação na inspeção, auditoria e registro de estabelecimentos e produtos, bem como o combate à fraude e o controle de resíduos e contaminantes, promovem a qualidade dos produtos, o desenvolvimento das cadeias produtivas, assegurando a competitividade nacional e internacional, em benefício da sociedade brasileira. Adicionalmente, a certificação de qualidade dos produtos de origem vegetal ou insumos da cadeia produtiva vegetal, é um atributo para abertura de mercados internos e externos, além de contribuir para o comércio justo, eliminando do mercado produtos sem a qualidade adequada para consumo.";"22000 - Ministério da Agricultura e Pecuária";
2024;"2302";"1269";"0086";"Fortalecer os serviços de vigilância agropecuária internacional, laboratórios oficiais, educação sanitária em atendimento às demandas da defesa agropecuária federal";"A Defesa Agropecuária presta uma série de serviços transversais que colaboram com as áreas finalísticas de saúde animal, sanidade vegetal e qualidade de seus produtos e insumos. Os serviços de vigilância internacional atuam nas vias de entrada regulares (portos, aeroportos e fronteiras terrestres) e também na prevenção de trânsito internacional irregular por intermédio de operações específicas para evitar a introdução criminosa de animais, vegetais, seus produtos ou insumos. Os laboratórios oficiais e a rede credenciada contribuem fornecendo análises laboratoriais acreditadas por ISO 17025, que subsidiam todas as ações da defesa agropecuária, incluindo os certificados de qualidade de produtos. O programa de educação sanitária é voltado a um público diverso, incluindo não só produtores e agentes de assistência técnica, como também a população em geral. O conjunto desses serviços, uma vez fortalecidos, contribuem para a Defesa Agropecuária.";"22000 - Ministério da Agricultura e Pecuária";
2024;"2321";"1270";"0055";"Ampliar a área e a produtividade da agricultura irrigada para o desenvolvimento regional, observando o uso racional dos recursos naturais";"Promover a ampliação sustentável da irrigação em áreas agrícolas existentes, bem como em áreas degradadas, para o aumento da produção e da produtividade, visando contribuir para o desenvolvimento regional e a redução das disparidades intra regionais.";"53000 - Ministério da Integração e do Desenvolvimento Regional";
2024;"2321";"1270";"0056";"Ampliar a segurança hídrica e a resiliência à mudança do clima por meio da implantação, recuperação e manutenção da infraestrutura hídrica, em bases sustentáveis, especialmente nas regiões em situação crítica.";"Ampliar a infraestruturas hídrica para atender um maior número de municípios com Índice de Segurança Hídrica, na dimensão humana, baixo ou crítico, promovendo o desenvolvimento regional e a melhoria da qualidade de vida das populações atendidas.";"53000 - Ministério da Integração e do Desenvolvimento Regional";
2024;"2321";"1270";"0058";"Aprimorar os usos múltiplos da água e os serviços hídricos, observando a eficiência e a sustentabilidade, ampliando o conhecimento sobre recursos hídricos, minimizando os riscos e ocorrências de conflitos.";"Esse objetivo específico busca estabelecer um pacto nacional para a definição de diretrizes e políticas públicas voltadas para a melhoria da oferta de água, em quantidade e qualidade, gerenciando as demandas e considerando ser a água um elemento estruturante para a implementação das políticas setoriais, sob a ótica do desenvolvimento sustentável, usos múltiplos da água e da inclusão social. Nesse sentido busca assegurar a melhoria das disponibilidades hídricas, superficiais e subterrâneas, em qualidade e quantidade, a redução dos conflitos reais e potenciais de uso da água, bem como dos eventos hidrológicos críticos e a percepção da conservação da água como valor socioambiental relevante.";"53000 - Ministério da Integração e do Desenvolvimento Regional";
2024;"2321";"1270";"0054";"Preservar, conservar e recuperar bacias hidrográficas, especialmente aquelas em situação de vulnerabilidade";"Realização de estudos, projetos, diagnósticos e implementação de ações de recuperação, conservação e preservação ambiental nas bacias hidrográficas onde os recursos hídricos estão em situação de vulnerabilidade em decorrência da ação humana, em que os seus usos múltiplos estão prejudicados em função de quantidade ou qualidade da água ou em função de condições de escoamento, com o comprometimento de mananciais hídricos.";"53000 - Ministério da Integração e do Desenvolvimento Regional";
2024;"3901";"1271";"0171";"Realizar a regularização fundiária da malha ferroviária";"Realizar a regularização fundiária da malha ferroviária provendo a titularização dos imóveis às famílias que podem ter sua situação regularizada, fornecendo subsídios para que seja realizada a fiscalização de forma eficiente dos bens ferroviários, evitando as ocupações irregulares em tempo hábil, permitindo a melhoria da operação ferroviária e garantindo competitividade e geração de renda.";"39000 - Ministério dos Transportes";
2024;"3901";"1271";"0233";"Aumentar a eficiência da malha ferroviária de maneira sustentável";"A eficiência da malha cumpre um papel fundamental no desenvolvimento sustentável, oferecendo uma solução de transporte eficiente, seguro e ambientalmente adequado. A busca por aumentar a eficiência desse sistema é essencial para reduzir os custos operacionais, promover a mobilidade eficiente, reduzir as emissões de gases de efeito estufa, melhorar a conectividade regional e a qualidade dos serviços e minimizar os impactos ambientais negativos. Nesse contexto, é crucial adotar medidas para garantir que as melhorias na infraestrutura sejam realizadas de forma responsável.";"39000 - Ministério dos Transportes";
2024;"3901";"1271";"0172";"Ampliar a capacidade potencial do transporte ferroviário pela construção de ferrovias";"Ampliar a capacidade potencial do transporte ferroviário pela construção de ferrovias";"39000 - Ministério dos Transportes";
2024;"3103";"1272";"0029";"Reduzir a dependência externa de derivados de petróleo";"Questões geopolíticas interferem diretamente no mercado de commodities energéticas. O conflito entre Rússia e Ucrânia e as sanções econômicas decorrentes trouxeram luz à importância da segurança energética, com a temática ganhando força nos debates sobre formulação de políticas públicas. A garantia do fornecimento de derivados de petróleo em todo o território nacional é tema prioritário para o Estado brasileiro. Nesse contexto, é importante desenvolver ações para reduzir a dependência externa de derivados de petróleo.";"32000 - Ministério de Minas e Energia";
2024;"3103";"1272";"0031";"Aumentar as atividades de exploração e produção de petróleo e gás natural";"Trata-se do objetivo fim das políticas públicas emanadas e acompanhadas pelo Ministério de Minas e Energia. O objetivo reflete a atratividade do setor para investimentos.";"32000 - Ministério de Minas e Energia";
2024;"3103";"1272";"0030";"Melhorar o aproveitamento da produção de gás natural nacional";"Melhorar o aproveitamento da produção de gás natural nacional";"32000 - Ministério de Minas e Energia";
2024;"4105";"1273";"0194";"Prestar consultoria e assessoramento jurídico proativo, propositivo e uniforme";"Garantir suporte jurídico aos órgãos e aos agentes públicos do Poder Executivo Federal, de suas autarquias e fundações públicas, para dar segurança jurídica aos atos administrativos por eles praticados, especialmente quanto à materialização das políticas públicas, à viabilização jurídica das licitações e dos contratos e na proposição e análise de medidas legislativas necessárias ao desenvolvimento e aprimoramento do Estado Brasileiro";"63000 - Advocacia-Geral da União";
2024;"4105";"1273";"0195";"Prevenir e Reduzir a Litigiosidade";"Gerenciar o contencioso jurídico, buscando a resolução preventiva de conflitos e a uniformização de interpretação da legislação em vigor.";"63000 - Advocacia-Geral da União";
2024;"4105";"1273";"0197";"Promover a defesa jurídica coordenada e assertiva.";"Atuar de forma coordenada e assertiva na defesa jurídica do Estado Brasileiro, com vistas à proteção e à promoção da juridicidade e do interesse público.";"63000 - Advocacia-Geral da União";
2024;"3102";"1274";"0046";"Ampliar as reservas de minerais estratégicos para a transição energética";"Ampliar as reservas de minerais estratégicos para a transição energética";"32000 - Ministério de Minas e Energia";
2024;"3102";"1274";"0040";"Aumentar a segurança da mineração para a sociedade brasileira";"Aumentar a segurança da mineração para a sociedade brasileira";"32000 - Ministério de Minas e Energia";
2024;"3102";"1274";"0044";"Estimular a adoção de práticas sustentáveis no setor mineral brasileiro";"Estimular a adoção de práticas sustentáveis no setor mineral brasileiro";"32000 - Ministério de Minas e Energia";
2024;"3102";"1274";"0045";"Criar um ambiente orientado para a atração de investimentos em pesquisa, produção e transformação mineral";"Criar um ambiente orientado para a atração de investimentos em pesquisa, produção e transformação mineral";"32000 - Ministério de Minas e Energia";
2024;"3102";"1274";"0051";"Melhorar as condições socioeconômicas de municípios mineradores e afetados";"Melhorar as condições socioeconômicas de municípios mineradores";"32000 - Ministério de Minas e Energia";
2024;"3102";"1274";"0049";"Ampliar o suprimento de insumos minerais estratégicos para a segurança alimentar";"Ampliar o suprimento de insumos minerais estratégicos para a segurança alimentar";"32000 - Ministério de Minas e Energia";
2024;"2315";"1275";"0220";"Promover a cultura de responsabilidade e conformidade fiscal e tributária, por meio da facilitação e orientação, fortalecendo a transparência e o relacionamento com a sociedade";"O objetivo visa promover a conformidade fiscal e tributária com ênfase em ações de facilitação e orientação, buscando criar um ambiente mais cooperativo entre órgãos de governo e sociedade, em detrimento de ações coercitivas.";"25000 - Ministério da Fazenda";
2024;"2315";"1275";"0225";"Promover a arrecadação por meio de ações efetivas, racionais, justas e adequadas ao perfil do contribuinte, fortalecendo o combate à fraude fiscal para o fomento de um ambiente econômico e concorrencial equilibrado";"O objetivo visa promover a arrecadação de tributos com ações adequadas ao perfil do contribuinte, fortalecer o combate à fraude fiscal e melhorar o ambiente econômico e concorrencial.";"25000 - Ministério da Fazenda";
2024;"2315";"1275";"0380";"Viabilizar as iniciativas para a transformação ecológica da economia brasileira, visando o crescimento econômico sustentável, com crescimento de produtividade, aumento de renda, redução do impacto ambiental e distribuição de renda.";"O plano de transformação ecológica visa ao desenvolvimento inclusivo e sustentável frente à crise climática, a partir de iniciativas com participação e/ ou liderança do Ministério da Fazenda. Tem como diretrizes proporcionar ganhos de produtividade e geração de trabalho decente, promover justiça ambiental e climática, e gerar renda ao passo que contribui para equidade.";"25000 - Ministério da Fazenda";
2024;"6113";"1276";"0032";"Contribuir para a sustentabilidade marinha, a manutenção dos serviços ecossistêmicos e da justiça social no oceano, zonas costeiras e Antártica.";"Contribuir para a sustentabilidade marinha, a manutenção dos serviços ecossistêmicos e da justiça social no oceano, zonas costeiras e Antártica, por meio da observação, acompanhamento, monitoramento e disseminação de fenômenos e dados físicos, químicos, atmosféricos, ambientais ecossistêmicos, biogeoquímicos e os decorrentes das atividades humanas.";"52000 - Ministério da Defesa";
2024;"6113";"1276";"0078";"Consolidar e ampliar a participação do Brasil no cenário internacional quanto aos temas relacionados ao Oceano e à Antártica.";"O ambiente marinho não se limita a fronteiras geográficas estabelecidas e impactam no bem-estar humano no planeta, como agricultura, elevação do nível do mar, mudança climática etc., motivo pelo qual é essencial tratar da questão da política externa e dos interesses geopolíticos múltiplos associados a esta temática, consolidando e ampliando a participação do Brasil no cenário internacional quanto aos temas relacionados ao Oceano e à Antártica.";"52000 - Ministério da Defesa";
2024;"6113";"1276";"0099";"Viabilizar o ordenamento ecológico e econômico nos espaços costeiros e marinhos sob jurisdição nacional para aumentar a resiliência à mudança do clima e prover segurança jurídica, contribuindo com a sustentabilidade socioambiental e a governança.";"Promover o estabelecimento do planejamento espacial marinho baseado na sustentabilidade socioambiental e na governança dos recursos naturais com previsibilidade e segurança jurídica nas zonas costeiras, zonas contíguas, zona econômica exclusiva e plataforma continental, visando diminuir os efeitos das mudanças climáticas, contribuindo para o desenvolvimento do Brasil e promovendo o bem estar da sociedade brasileira.";"52000 - Ministério da Defesa";
2024;"6113";"1276";"0091";"Impulsionar o conhecimento científico, o desenvolvimento tecnológico e a inovação no oceano, zona costeira e na regiões polares";"Promover ações que impulsionem o conhecimento científico, o desenvolvimento tecnológico e a inovação no oceano, zona costeira e regiões polares, contribuindo para a sustentabilidade marinha e para a compreensão e a manutenção dos serviços ecossistêmicos nesse ambiente, por meio de pesquisas, da capacitação material e de pessoal, da observação, do acompanhamento, do monitoramento e da disseminação de fenômenos e dados físicos, químicos, atmosféricos, ambientais, ecossistêmicos, biogeoquímicos e decorrentes da atividade humana.";"52000 - Ministério da Defesa";
2024;"2303";"1277";"0037";"Aumentar o compartilhamento, aplicação e geração de conhecimentos técnico-científicos para superação dos desafios econômicos, sociais e ambientais dos setores agropecuário, agroindustrial e florestal.";"O objetivo considera as constantes incertezas e desafios dos setores agropecuário, agroindustrial e florestal no ambiente tropical, para se tornarem cada vez mais sustentáveis. Tem foco no processo de inovação, que tem início na pesquisa científica e no desenvolvimento tecnológico para a geração de novos conhecimentos e novas aplicações para esses conhecimentos gerados, e que deve ser contínuo para permitir que os atores públicos e privados tenham prontidão para enfrentar desafios do presente e do futuro.";"22000 - Ministério da Agricultura e Pecuária";
2024;"2303";"1277";"0038";"Ampliar as ações de PD & I em parceria com agentes dos ecossistemas de inovação nacionais e internacionais para o enfrentamento dos desafios de futuro dos setores agropecuário, agroindustrial e florestal.";"O fortalecimento das capacidades do setor agropecuário em superar desafios para a produção sustentável, no presente e no futuro, vai depender da efetiva incorporação de tecnologias e conhecimentos gerados nos ambientes produtivos. As parcerias entre instituições de ciência e tecnologia com outros atores públicos e privados, nacionais e internacionais, são determinantes para a relevância e robustez das soluções geradas, que precisam ter viabilidade técnica, econômica e social. Além disso, o desenvolvimento conjunto de tecnologias permite racionalizar recursos financeiros e compartilhar infraestruturas e competências para as ações de PD&I. Outro aspecto relevante da aproximação de atores nos ecossistemas são as contribuições técnico-científicas para elaboração, implementação e avaliação de políticas públicas baseadas em evidências para o setor agropecuário.";"22000 - Ministério da Agricultura e Pecuária";
2024;"3106";"1278";"0145";"Manter a malha rodoviária federal com condições de trafegabilidade e segurança";"Tem como foco garantir a conservação e a segurança da malha rodoviária federal existente. A lógica por trás desse objetivo está em assegurar que as estradas se mantenham em boas condições de tráfego, livres de buracos, desnivelamentos e outros problemas que possam comprometer a segurança dos usuários.";"39000 - Ministério dos Transportes";
2024;"3106";"1278";"0147";"Conceder rodovias utilizando mecanismos aprimorados, modernos e sustentáveis";"Conceder rodovias utilizando mecanismos aprimorados, modernos e sustentáveis para desenvolver infraestrutura rodoviária de qualidade, confiável, sustentável e resiliente, incluindo infraestrutura regional e transfronteiriça, para apoiar o desenvolvimento econômico e o bem-estar humano, com foco no acesso equitativo e a preços acessíveis para todos.";"39000 - Ministério dos Transportes";
2024;"3106";"1278";"0148";"Ampliar, com recursos privados, a capacidade da malha rodoviária federal concedida";"Quantidade de vias duplicadas ou terceiras faixas e dispositivo entregues.";"39000 - Ministério dos Transportes";
2024;"3106";"1278";"0149";"Desburocratizar o transporte rodoviário de carga";"Implantação de Plataforma do Documento Eletrônico de Transporte com o objetivo de emissão do documento eletrônico obrigatório que consolidará o conjunto de documentos físicos (papel) necessários ou exigidos para as operações realizadas por qualquer modo de transporte, seja rodoviário, ferroviário, aquaviário, aéreo ou dutoviário incluindo a contratação de Pontos de Monitoramento Inteligente (PMI), dotados de Infraestrutura de coleta automatizada de dados de tráfego e carga, contemplando o registro de passagem dos veículos, com a identificação pelas tecnologias OCR (Optical Character Recognition) e RFID (Identificação por frequência), comunicação e transmissão de dados para a Plataforma DT-e.";"39000 - Ministério dos Transportes";
2024;"3106";"1278";"0146";"Adequar e ampliar a malha pavimentada rodoviária federal com recursos públicos";"Este objetivo busca melhorar a infraestrutura rodoviária do país, adequando e ampliando a malha pavimentada com o uso de recursos públicos. A lógica por trás desse objetivo é realizar investimentos estratégicos na construção e adequação de rodovias, de modo a atender à demanda crescente por transporte rodoviário. A transformação da realidade ocorre por meio de um planejamento eficiente, considerando a análise de demanda, estudos técnicos e priorização de trechos estratégicos para a economia e a integração regional. Com a adequação e ampliação da malha pavimentada, espera-se reduzir gargalos logísticos, facilitar o escoamento da produção, estimular o comércio, criar empregos na construção civil e promover o desenvolvimento regional. O valor social desse objetivo está relacionado ao aumento da acessibilidade, ao fortalecimento da infraestrutura nacional e ao desenvolvimento socioeconômico. Rodovias adequadas e ampliadas reduz o custo dos usuários e aumenta a competitividade, possibilitam ainda a conectividade entre regiões, facilitam o acesso a serviços essenciais, como saúde e educação, e impulsionam o turismo, o comércio e o desenvolvimento local. Além disso, a ampliação da malha pavimentada contribui para reduzir as desigualdades regionais e promover a inclusão social.";"39000 - Ministério dos Transportes";
2024;"2224";"1279";"0034";"Assessorar o Estado, produzir e disseminar conhecimento de modo acessível, em apoio às políticas públicas, inclusive àquelas que reduzam as desigualdades, especialmente de gênero e raça.";"O objetivo específico em questão se refere a uma série de funções importantes que o Instituto de Pesquisa Econômica Aplicada (IPEA) pode desempenhar em prol do Estado e da sociedade. Isso envolve pesquisa, assessoria e disseminação de conhecimento em prol do aprimoramento de políticas públicas essenciais a um desenvolvimento inclusivo, sustentável e democraticamente construído.";"47000 - Ministério do Planejamento e Orçamento";
